iter	Logloss
0	0.3776967165
1	0.3381282006
2	0.3225331373
3	0.3133590936
4	0.3102039118
5	0.3092427584
6	0.3079251535
7	0.3070043444
8	0.3063315005
9	0.3050584865
10	0.3045797033
11	0.3042109711
12	0.3036650655
13	0.3032935038
14	0.3028396956
15	0.3025826805
16	0.3023226358
17	0.3020989306
18	0.3017169272
19	0.301555719
20	0.3012935102
21	0.3010934414
22	0.3009286557
23	0.3007837212
24	0.3006193427
25	0.3005077822
26	0.3002038731
27	0.3000800453
28	0.2999809354
29	0.2997596708
30	0.2996913296
31	0.2996095956
32	0.2994364557
33	0.2992415352
34	0.2991455671
35	0.2989174206
36	0.2987970527
37	0.2987362376
38	0.2986309563
39	0.2985222371
40	0.2984695051
41	0.2983814993
42	0.2983040712
43	0.2982261188
44	0.2981331362
45	0.2980146205
46	0.2979691394
47	0.2978987581
48	0.2978535141
49	0.2977690672
50	0.2976691132
51	0.2976099666
52	0.2975776333
53	0.297506684
54	0.2974692198
55	0.297407279
56	0.2972960465
57	0.2972293632
58	0.2971730282
59	0.297130987
60	0.2970669252
61	0.2970069642
62	0.2969741341
63	0.296911416
64	0.2968235558
65	0.2967985158
66	0.2967173451
67	0.2966663769
68	0.2965956064
69	0.2965420357
70	0.2964660865
71	0.2963953929
72	0.2963549041
73	0.2963451759
74	0.2963182709
75	0.2962892913
76	0.2962237616
77	0.2961714567
78	0.2961337081
79	0.2960881024
80	0.2960141458
81	0.2959653598
82	0.2958802998
83	0.2958427722
84	0.2957993734
85	0.2957941248
86	0.2957446663
87	0.2957140082
88	0.2956689967
89	0.295606602
90	0.2955645122
91	0.2955240318
92	0.2954775318
93	0.2954228127
94	0.2953716605
95	0.2953261443
96	0.2953021161
97	0.2952499309
98	0.2952268726
99	0.2951658401
100	0.2951486286
101	0.295145133
102	0.2951187171
103	0.2950733314
104	0.2950191486
105	0.2949973667
106	0.2949444217
107	0.2948936687
