iter	Passed	Remaining
0	416	82852
1	853	84517
2	1286	84484
3	1702	83435
4	2154	84006
5	2556	82667
6	2979	82139
7	3390	81360
8	3775	80120
9	4199	79786
10	4629	79535
11	5028	78774
12	5432	78142
13	5851	77740
14	6264	77262
15	6665	76652
16	7096	76392
17	7518	76022
18	7944	75683
19	8426	75835
20	8856	75494
21	9307	75303
22	9708	74711
23	10111	74153
24	10544	73808
25	10968	73404
26	11448	73353
27	11902	73112
28	12354	72849
29	12768	72354
30	13246	72214
31	13713	71994
32	14179	71755
33	14611	71339
34	15060	71001
35	15423	70263
36	15879	69955
37	16336	69644
38	16793	69325
39	17242	68970
40	17703	68653
41	18156	68304
42	18652	68102
43	19100	67719
44	19482	67106
45	19900	66622
46	20328	66175
47	20788	65829
48	21249	65484
49	21692	65077
50	22133	64663
51	22581	64270
52	23037	63896
53	23413	63303
54	23831	62827
55	24264	62394
56	24731	62045
57	25158	61594
58	25582	61137
59	25963	60582
60	26429	60223
61	26881	59832
62	27345	59465
63	27786	59047
64	28231	58633
65	28680	58230
66	29109	57784
67	29396	57062
68	29866	56702
69	30317	56303
70	30733	55839
71	31142	55365
72	31541	54873
73	31957	54414
74	32396	53994
75	32851	53599
76	33314	53216
77	33795	52859
78	34252	52462
79	34699	52048
80	35152	51643
81	35583	51205
82	36014	50767
83	36445	50330
84	36921	49951
85	37331	49485
86	37772	49061
87	38220	48643
88	38588	48126
89	39037	47712
90	39476	47284
91	39905	46845
92	40332	46404
93	40773	45978
94	41188	45524
95	41631	45100
96	42095	44699
97	42538	44274
98	43018	43887
99	43469	43469
100	43938	43068
101	44404	42663
102	44859	42246
103	45326	41839
104	45777	41417
105	46271	41033
106	46738	40623
107	47214	40220
108	47687	39812
109	48161	39404
110	48610	38976
111	49073	38557
112	49454	38075
113	49852	37608
114	50292	37172
115	50730	36735
116	51179	36306
117	51586	35848
118	52017	35406
119	52505	35003
120	52942	34565
121	53385	34131
122	53835	33702
123	54271	33263
124	54672	32803
125	55041	32325
126	55377	31831
127	55813	31395
128	56242	30954
129	56665	30511
130	57092	30071
131	57527	29635
132	58025	29230
133	58482	28804
134	58936	28376
135	59360	27934
136	59783	27491
137	60157	27027
138	60584	26587
139	61052	26165
140	61525	25744
141	61977	25314
142	62436	24887
143	62888	24456
144	63362	24033
145	63826	23607
146	64285	23177
147	64749	22749
148	65210	22320
149	65692	21897
150	66141	21463
151	66612	21035
152	67020	20587
153	67467	20152
154	67877	19706
155	68333	19273
156	68777	18837
157	69223	18401
158	69683	17968
159	70146	17536
160	70572	17095
161	71020	16659
162	71444	16217
163	71896	15782
164	72317	15340
165	72788	14908
166	73214	14467
167	73674	14033
168	74118	13595
169	74559	13157
170	75039	12725
171	75467	12285
172	75924	11849
173	76374	11412
174	76840	10977
175	77310	10542
176	77784	10107
177	78264	9673
178	78679	9230
179	79173	8797
180	79628	8358
181	80100	7922
182	80532	7481
183	81043	7047
184	81527	6610
185	81991	6171
186	82430	5730
187	82878	5290
188	83329	4849
189	83788	4409
190	84269	3970
191	84739	3530
192	85235	3091
193	85676	2649
194	86149	2208
195	86625	1767
196	87097	1326
197	87556	884
198	88028	442
199	88448	0
